_timestamp,train_loss,valid_atom_accuracy,_step,records,_runtime,valid_noise_loss,valid_loss,train_accuracy,valid_noise_accuracy,valid_accuracy,valid_atom_loss,epoch
1725915092.7588315,3.140087127685547,,0,857.0,6383.953078508377,,,0.044340723453908985,,,,
1725915092.9298723,3.140087127685547,,1,,6384.124119281769,,,0.044340723453908985,,,,1.0
1725915095.297539,3.173314094543457,,2,1714.0,6386.491786003113,,,0.047841306884480746,,,,
1725915095.4829545,3.173314094543457,,3,,6386.677201509476,,,0.047841306884480746,,,,2.0
1725915097.8113527,3.1377949714660645,,4,2571.0,6389.005599737167,,,0.057176196032672114,,,,
1725915098.020131,3.1377949714660645,,5,,6389.214378118515,,,0.057176196032672114,,,,3.0
1725915100.2708879,3.074586868286133,,6,3428.0,6391.465134859085,,,0.073512252042007,,,,
1725915100.4899623,3.074586868286133,,7,,6391.684209346771,,,0.073512252042007,,,,4.0
1725915102.7879267,3.1139726638793945,,8,4285.0,6393.982173681259,,,0.06651108518086347,,,,
1725915103.0010817,3.1139726638793945,,9,,6394.195328712463,,,0.06651108518086347,,,,5.0
1725915105.3402426,3.1403825283050537,,10,5142.0,6396.534489631653,,,0.059509918319719954,,,,
1725915105.546176,3.1403825283050537,,11,,6396.740422964096,,,0.059509918319719954,,,,6.0
1725915107.8178632,3.062509775161743,,12,5999.0,6399.012110233307,,,0.06534422403733955,,,,
1725915108.0501013,3.062509775161743,,13,,6399.244348287582,,,0.06534422403733955,,,,7.0
1725915110.30414,3.1152825355529785,,14,6856.0,6401.498387098312,,,0.057176196032672114,,,,
1725915110.516386,3.1152825355529785,,15,,6401.7106330394745,,,0.057176196032672114,,,,8.0
1725915112.786336,3.0628902912139893,,16,7713.0,6403.980582952499,,,0.07817969661610269,,,,
1725915112.9751658,3.0628902912139893,,17,,6404.169412851334,,,0.07817969661610269,,,,9.0
1725915115.2708838,3.0509190559387207,,18,8570.0,6406.465130805969,,,0.08051341890315053,,,,
1725915115.4818025,3.0509190559387207,,19,,6406.6760494709015,,,0.08051341890315053,,,,10.0
1725915118.2039027,3.0425097942352295,,20,9427.0,6409.398149728775,,,0.06651108518086347,,,,
1725915118.4087212,3.0425097942352295,,21,,6409.602968215942,,,0.06651108518086347,,,,11.0
1725915120.6515503,3.037297487258911,,22,10284.0,6411.845797300339,,,0.09451575262543757,,,,
1725915120.8676302,3.037297487258911,,23,,6412.061877250671,,,0.09451575262543757,,,,12.0
1725915123.1400552,3.060657024383545,,24,11141.0,6414.334302186966,,,0.059509918319719954,,,,
1725915123.3432024,3.060657024383545,,25,,6414.537449359894,,,0.059509918319719954,,,,13.0
1725915125.5840058,3.044863224029541,,26,11998.0,6416.778252840042,,,0.08284714119019837,,,,
1725915125.7841105,3.044863224029541,,27,,6416.978357553482,,,0.08284714119019837,,,,14.0
1725915128.0394397,3.0858845710754395,,28,12855.0,6419.233686685562,,,0.06651108518086347,,,,
1725915128.2479148,3.0858845710754395,,29,,6419.442161798477,,,0.06651108518086347,,,,15.0
1725915130.472671,3.0513556003570557,,30,13712.0,6421.666918039322,,,0.06651108518086347,,,,
1725915130.7020237,3.0513556003570557,,31,,6421.896270751953,,,0.06651108518086347,,,,16.0
1725915132.935353,3.0161657333374023,,32,14569.0,6424.129600048065,,,0.06534422403733955,,,,
1725915133.119223,3.0161657333374023,,33,,6424.313470125198,,,0.06534422403733955,,,,17.0
1725915135.3779078,3.0482771396636963,,34,15426.0,6426.572154760361,,,0.0676779463243874,,,,
1725915135.5718453,3.0482771396636963,,35,,6426.766092300415,,,0.0676779463243874,,,,18.0
1725915137.8713927,3.0210986137390137,,36,16283.0,6429.065639734268,,,0.07001166861143523,,,,
1725915138.059255,3.0210986137390137,,37,,6429.25350189209,,,0.07001166861143523,,,,19.0
