train_loss,train_accuracy,valid_accuracy,valid_atom_loss,epoch,valid_noise_loss,_step,valid_loss,records,_runtime,valid_atom_accuracy,valid_noise_accuracy,_timestamp
3.0242695808410645,0.07234539089848308,,,,,0,,857.0,128.76087522506714,,,1729821190.5774171
3.0242695808410645,0.07234539089848308,,,1.0,,1,,,129.01742720603943,,,1729821190.833969
2.8375158309936523,0.08168028004667445,,,,,2,,1714.0,133.9735906124115,,,1729821195.7901325
2.8375158309936523,0.08168028004667445,,,2.0,,3,,,134.35555338859558,,,1729821196.1720953
2.772934675216675,0.10851808634772463,,,,,4,,2571.0,138.97306632995605,,,1729821200.7896082
2.772934675216675,0.10851808634772463,,,3.0,,5,,,139.3487606048584,,,1729821201.1653025
2.7386834621429443,0.13302217036172695,,,,,6,,3428.0,143.77319383621216,,,1729821205.5897357
2.7386834621429443,0.13302217036172695,,,4.0,,7,,,144.12987995147705,,,1729821205.9464219
2.7111666202545166,0.12835472578763127,,,,,8,,4285.0,148.69966316223145,,,1729821210.516205
2.7111666202545166,0.12835472578763127,,,5.0,,9,,,149.07263660430908,,,1729821210.8891785
2.682849407196045,0.1411901983663944,,,,,10,,5142.0,153.66800832748413,,,1729821215.4845502
2.682849407196045,0.1411901983663944,,,6.0,,11,,,154.04411363601685,,,1729821215.8606555
2.65783429145813,0.14819136522753792,,,,,12,,5999.0,158.44631099700928,,,1729821220.262853
2.65783429145813,0.14819136522753792,,,7.0,,13,,,158.82345747947693,,,1729821220.6399994
2.6397669315338135,0.14585764294049008,,,,,14,,6856.0,163.21595668792725,,,1729821225.0324986
2.6397669315338135,0.14585764294049008,,,8.0,,15,,,163.58847188949585,,,1729821225.4050138
2.6219723224639893,0.16219369894982497,,,,,16,,7713.0,167.96648573875427,,,1729821229.7830276
2.6219723224639893,0.16219369894982497,,,9.0,,17,,,168.37404775619507,,,1729821230.1905897
2.6136317253112793,0.1516919486581097,,,,,18,,8570.0,172.73362970352173,,,1729821234.5501716
2.6136317253112793,0.1516919486581097,,,10.0,,19,,,173.0917284488678,,,1729821234.9082704
2.5892770290374756,0.1645274212368728,,,,,20,,9427.0,177.44914746284485,,,1729821239.2656894
2.5892770290374756,0.1645274212368728,,,11.0,,21,,,177.79099774360657,,,1729821239.6075397
2.5785531997680664,0.17386231038506417,,,,,22,,10284.0,182.18135786056519,,,1729821243.9978998
2.5785531997680664,0.17386231038506417,,,12.0,,23,,,182.55121064186096,,,1729821244.3677526
2.561675548553467,0.19369894982497082,,,,,24,,11141.0,186.9322865009308,,,1729821248.7488284
2.561675548553467,0.19369894982497082,,,13.0,,25,,,187.31728625297546,,,1729821249.1338282
2.5389444828033447,0.20303383897316218,,,,,26,,11998.0,191.93019771575928,,,1729821253.7467396
2.5389444828033447,0.20303383897316218,,,14.0,,27,,,192.296635389328,,,1729821254.1131773
2.5301260948181152,0.20770128354725786,,,,,28,,12855.0,196.6891167163849,,,1729821258.5056586
2.5301260948181152,0.20770128354725786,,,15.0,,29,,,197.07622742652893,,,1729821258.8927693
2.5173704624176025,0.21586931155192532,,,,,30,,13712.0,201.44708585739136,,,1729821263.2636278
